loan_id,account_id,amount_loan,duration,payments,status,type,amount_trans,balance,date_diff
4962,25,30276,12,2523,,credit,900.0,900.0,
4962,25,30276,12,2523,,credit,15800.0,16700.0,2592000.0
4962,25,30276,12,2523,,credit,13067.0,29767.0,604800.0
4962,25,30276,12,2523,,credit,42054.0,71821.0,172800.0
4962,25,30276,12,2523,,withdrawal,36000.0,77580.0,
4962,25,30276,12,2523,,credit,41759.0,113580.0,86400.0
4962,25,30276,12,2523,,credit,13794.0,91374.0,1641600.0
4962,25,30276,12,2523,,withdrawal,33600.0,57774.0,1728000.0
4962,25,30276,12,2523,,credit,362.5,58136.5,432000.0
4962,25,30276,12,2523,,credit,22573.0,80709.5,259200.0
4962,25,30276,12,2523,,withdrawal,1110.0,79599.5,864000.0
4962,25,30276,12,2523,,withdrawal,2400.0,77199.5,86400.0
4962,25,30276,12,2523,,withdrawal,164.0,77035.5,86400.0
4962,25,30276,12,2523,,withdrawal,6817.0,70218.5,172800.0
4962,25,30276,12,2523,,withdrawal,23800.0,46418.5,1382400.0
4962,25,30276,12,2523,,credit,40895.0,87313.5,2160000.0
4962,25,30276,12,2523,,withdrawal,14.6,87590.0,432000.0
4962,25,30276,12,2523,,credit,291.1,87604.6,259200.0
4962,25,30276,12,2523,,withdrawal,50300.0,66435.0,518400.0
4962,25,30276,12,2523,,withdrawal,1110.0,65325.0,0.0
4962,25,30276,12,2523,,credit,29145.0,116735.0,518400.0
4962,25,30276,12,2523,,credit,48119.0,113444.0,86400.0
4962,25,30276,12,2523,,withdrawal,46900.0,66544.0,86400.0
4962,25,30276,12,2523,,withdrawal,164.0,66380.0,86400.0
4962,25,30276,12,2523,,credit,19946.0,86326.0,259200.0
4962,25,30276,12,2523,,withdrawal,6817.0,79509.0,172800.0
4962,25,30276,12,2523,,withdrawal,1500.0,78009.0,86400.0
4962,25,30276,12,2523,,credit,31101.0,109110.0,432000.0
4962,25,30276,12,2523,,withdrawal,62800.0,46310.0,345600.0
