Id,Predicted
4962,0.009528306153008481
4967,0.5309505163899898
4968,0.07902422635319295
4986,0.09430443092356966
4988,0.4431046396969378
4989,0.3468163385874806
4990,0.022540098618392235
5005,0.10595478551982584
5015,0.013326998305146831
5027,0.020150908700737102
5034,0.018661812075596584
5036,0.08687592364052987
5039,0.11894160535876852
5041,0.3550141437335935
5042,0.08622562789843324
5043,0.21881972466451727
5046,0.12371965869222079
5051,0.005397579258471619
5061,0.09909438937191395
5063,0.9108619648294543
5072,0.08661412724077
5086,0.1273828726225833
5103,0.010150265928640767
5110,0.05215405780895355
5117,0.19384674723947926
5124,0.035987053740056396
5134,0.09952238666979507
5140,0.1783491694220063
5147,0.12251841164009936
5154,0.052845242791848546
5158,0.08216533115644065
5169,0.4347718362524823
5172,0.066936146578224
5174,0.3815760668787104
5206,0.21868956136829065
5207,0.0725823565953112
5210,0.0509958398089746
5214,0.09542926829405818
5221,0.019087326805255378
5226,0.27956419238547714
5229,0.06857362826607871
5236,0.08021317928661797
5241,0.2821782340136396
5245,0.009436396138454595
5253,0.2544839827553209
5260,0.076131555615497
5265,0.30955839563070775
5270,0.09279604942370345
5281,0.22120660236632328
5287,0.06563685453752643
5293,0.14826084684318064
5304,0.021134917556012156
5313,0.03402818183546086
5318,0.018684223638042674
5320,0.3007610386145949
5332,0.0066194742970536735
5334,0.040330765999295415
5338,0.21649001901236276
5343,0.06033238333040958
5346,0.09510685318121692
5354,0.030381873777414525
5358,0.06800581779249881
5360,0.07406683996459751
5363,0.5479711087681352
5365,0.38245761925193844
5367,0.08314072821236917
5368,0.025638912946248094
5369,0.09624002148136457
5377,0.11987789086816225
5382,0.022879380875471478
5384,0.05515023646315298
5389,0.1522186042893806
5398,0.03186389238793608
5419,0.7274641513857605
5420,0.26823416433925495
5428,0.08822886100900373
5435,0.10513336997453537
5446,0.0430522637224251
5447,0.9877724146295761
5451,0.0957141678165534
5463,0.06471970313121533
5469,0.4082804922922081
5486,0.2498431875861591
5491,0.5989996774061509
5501,0.08898563054339348
5520,0.09608016552745402
5525,0.023662591789519904
5526,0.009411821658710684
5527,0.03511144253042853
5531,0.07570599070694561
5532,0.32429181737197543
5556,0.22078358461583214
5561,0.2060720263720951
5569,0.5418967613741883
5582,0.007624383303414306
5584,0.009898454232932008
5585,0.28230002552893974
5589,0.3479801117307877
5614,0.09416775773675023
5616,0.05425297174054855
5620,0.12315858359289489
5634,0.022887987455934233
5638,0.17650306157419426
5643,0.17226056041596072
5644,0.09549972915964644
5651,0.03769638705846001
5656,0.05494911804388081
5665,0.009230477183059804
5669,0.03588594947178392
5674,0.06817889421471535
