loan_id,account_id,amount_loan,duration,payments,status,trans_id,date_y,type,amount_y,balance,date_diff
4959,2,80952,24,3373,1,276,730684800,credit,1100.0,1100.0,
4959,2,80952,24,3373,1,279,731894400,credit,20236.0,21336.0,1209600.0
4959,2,80952,24,3373,1,697,733276800,credit,3700.0,25036.0,1382400.0
4959,2,80952,24,3373,1,3530483,733536000,credit,13.5,25049.5,259200.0
4959,2,80952,24,3373,1,280,734572800,credit,20236.0,45285.5,1036800.0
4959,2,80952,24,3373,1,698,735868800,withdrawal,11000.0,34285.5,
4959,2,80952,24,3373,1,3530484,736128000,credit,109.5,34394.9,1555200.0
4959,2,80952,24,3373,1,281,737164800,credit,20236.0,54630.9,1036800.0
4959,2,80952,24,3373,1,699,738460800,withdrawal,17600.0,37030.9,2592000.0
4959,2,80952,24,3373,1,3530485,738806400,credit,144.7,37175.6,1641600.0
4959,2,80952,24,3373,1,282,739843200,credit,30354.0,67529.6,1036800.0
4959,2,80952,24,3373,1,700,741052800,withdrawal,22400.0,45129.6,2592000.0
4959,2,80952,24,3373,1,3530486,741398400,credit,159.9,45289.5,1555200.0
4959,2,80952,24,3373,1,355,742348800,withdrawal,3200.0,42089.5,1296000.0
4959,2,80952,24,3373,1,283,742435200,credit,20236.0,62325.5,1036800.0
4959,2,80952,24,3373,1,497,743040000,withdrawal in cash,13145.0,49180.5,
4959,2,80952,24,3373,1,701,743644800,withdrawal,10300.0,38880.5,1296000.0
4959,2,80952,24,3373,1,632,744076800,withdrawal,14.6,39068.9,432000.0
4959,2,80952,24,3373,1,3530487,744076800,credit,203.0,39083.5,1641600.0
4959,2,80952,24,3373,1,428,744508800,withdrawal,7266.0,31802.9,432000.0
4959,2,80952,24,3373,1,356,744681600,withdrawal,2900.0,28902.9,172800.0
4959,2,80952,24,3373,1,284,745113600,credit,20236.0,49138.9,1036800.0
4959,2,80952,24,3373,1,493,745977600,withdrawal in cash,21286.0,27852.9,2937600.0
4959,2,80952,24,3373,1,702,746236800,withdrawal,1000.0,26852.9,1555200.0
4959,2,80952,24,3373,1,633,746755200,withdrawal,14.6,26991.8,518400.0
4959,2,80952,24,3373,1,3530488,746755200,credit,153.5,27006.4,1641600.0
4959,2,80952,24,3373,1,429,747187200,withdrawal,7266.0,19725.8,432000.0
4959,2,80952,24,3373,1,285,747792000,credit,20236.0,39961.8,1036800.0
4959,2,80952,24,3373,1,357,747964800,withdrawal,3600.0,36361.8,777600.0
4959,2,80952,24,3373,1,703,748828800,withdrawal,4500.0,31861.8,864000.0
4959,2,80952,24,3373,1,592,749001600,withdrawal,10200.0,21661.8,172800.0
4959,2,80952,24,3373,1,634,749347200,withdrawal,14.6,21774.0,345600.0
4959,2,80952,24,3373,1,3530489,749347200,credit,126.8,21788.6,1555200.0
4959,2,80952,24,3373,1,358,749606400,withdrawal,4000.0,17774.0,259200.0
4959,2,80952,24,3373,1,430,749779200,withdrawal,7266.0,10508.0,172800.0
4959,2,80952,24,3373,1,286,750384000,credit,20236.0,30744.0,1036800.0
4959,2,80952,24,3373,1,704,751420800,withdrawal,3000.0,27744.0,1641600.0
4959,2,80952,24,3373,1,635,752025600,withdrawal,14.6,27830.4,604800.0
4959,2,80952,24,3373,1,3530490,752025600,credit,101.0,27845.0,1641600.0
4959,2,80952,24,3373,1,431,752457600,withdrawal,7266.0,20564.4,432000.0
4959,2,80952,24,3373,1,287,753062400,credit,20236.0,40800.4,1036800.0
4959,2,80952,24,3373,1,359,753840000,withdrawal,3800.0,37000.4,1382400.0
4959,2,80952,24,3373,1,705,754012800,withdrawal,5300.0,31700.4,172800.0
4959,2,80952,24,3373,1,636,754617600,withdrawal,14.6,31824.9,604800.0
4959,2,80952,24,3373,1,3530491,754617600,credit,139.1,31839.5,1555200.0
4959,2,80952,24,3373,1,432,755049600,withdrawal,7266.0,24558.9,432000.0
4959,2,80952,24,3373,1,360,755308800,withdrawal,3500.0,21058.9,259200.0
4959,2,80952,24,3373,1,546,755481600,withdrawal,4200.0,16858.9,172800.0
4959,2,80952,24,3373,1,288,755654400,credit,30354.0,47212.9,1036800.0
4959,2,80952,24,3373,1,590,756259200,withdrawal,3000.0,44212.9,777600.0
4959,2,80952,24,3373,1,495,756432000,withdrawal in cash,13396.0,30816.9,10454400.0
4959,2,80952,24,3373,1,706,756604800,withdrawal,3100.0,27716.9,345600.0
4959,2,80952,24,3373,1,637,757296000,withdrawal,14.6,27840.6,691200.0
4959,2,80952,24,3373,1,3530492,757296000,credit,138.3,27855.2,1641600.0
